Designator,Mid X,Mid Y,Rotation,Layer
R26,136.157702,-86.490175,270.0,top
R27,139.969903,-86.446526,270.0,top
R28,131.59594,-84.486373,270.0,top
R29,141.844196,-89.5385,90.0,top
R3,97.618,-94.136,180.0,top
R30,148.832828,-89.500287,90.0,top
R31,145.356632,-89.516294,90.0,top
R32,134.633702,-89.538175,90.0,top
R33,138.445903,-89.494526,90.0,top
R34,130.07194,-87.534373,90.0,top
R35,132.948171,-69.972839,0.0,top
R36,139.584324,-69.845443,180.0,top
R37,133.689382,-67.60751,270.0,top
R38,138.81995,-67.439579,270.0,top
R39,151.654537,-100.370684,180.0,top
R4,116.4775,-133.4425,135.0,top
R40,151.620878,-98.788732,180.0,top
R41,151.632098,-97.128243,180.0,top
R42,148.037,-94.517,180.0,top
R43,135.464,-99.724,225.0,top
R44,136.988,-100.74,225.0,top
R45,133.367217,-98.600442,315.0,top
R46,127.630141,-103.310453,45.0,top
R47,137.496,-97.692,225.0,top
R48,137.496,-101.756,45.0,top
R49,134.584656,-97.420128,315.0,top
R5,103.46,-96.422,180.0,top
R50,126.462226,-105.058001,45.0,top
R51,148.748682,-124.920442,180.0,top
R52,150.712097,-123.652636,270.0,top
R53,150.723317,-121.262879,90.0,top
R54,148.872096,-119.568732,180.0,top
R55,134.194,-126.394,0.0,top
R56,139.782,-124.616,270.0,top
R57,131.4,-118.266,0.0,top
R58,132.924,-118.901,90.0,top
R59,132.924,-124.616,270.0,top
R6,105.492,-96.422,0.0,top
R60,140.29,-122.33,180.0,top
R61,131.4,-119.282,180.0,top
R62,132.924,-120.933,90.0,top
R63,151.898198,-116.951416,0.0,top
R64,149.845026,-116.934587,180.0,top
R65,150.62673,-111.469383,90.0,top
R66,151.681365,-111.477512,90.0,top
R67,135.090634,-116.497026,270.0,top
R68,142.446249,-116.614831,270.0,top
R69,133.486083,-111.013977,90.0,top
R7,116.606185,-96.986897,45.0,top
R70,134.946598,-109.440464,270.0,top
R71,134.656812,-114.858976,0.0,top
R72,143.624298,-116.63166,90.0,top
R73,133.467834,-113.094421,90.0,top
R74,136.734,-109.122,180.0,top
R75,147.988315,-109.819465,0.0,top
R76,151.916975,-106.610683,0.0,top
R77,151.928194,-105.421414,0.0,top
R78,151.905755,-104.030194,0.0,top
R79,146.264779,-110.474586,90.0,top
R8,98.360675,-97.187439,0.0,top
R80,146.894,-104.042,180.0,top
R81,130.384,-107.852,315.0,top
R82,136.743643,-107.994423,0.0,top
R83,147.981366,-110.968245,180.0,top
R84,148.008193,-105.125318,180.0,top
R85,128.86,-106.328,315.0,top
R86,137.181853,-106.436157,270.0,top
R87,114.763,-100.105,270.0,top
R88,120.097,-102.899,180.0,top
R89,125.304,-127.918,0.0,top
R9,124.923,-80.674,0.0,top
R90,86.569,-119.79,90.0,top
R91,100.412,-135.538,270.0,top
R92,106.254,-136.046,180.0,top
R93,112.35,-136.046,180.0,top
R94,118.446,-136.046,180.0,top
R95,124.542,-136.046,180.0,top
R96,127.209,-83.849,270.0,top
R97,126.574,-86.008,180.0,top
R98,82.18673,-92.033125,0.0,top
R99,100.669511,-68.932193,0.0,top
RN1,147.91,-97.184,270.0,top
RN10,76.814751,-135.043729,270.0,top
RN11,94.826175,-78.153732,0.0,top
RN2,148.263074,-122.230926,270.0,top
RN3,150.677709,-114.405074,270.0,top
RN4,147.91,-101.502,270.0,top
RN5,88.268921,-84.321111,270.0,top
RN6,74.003547,-88.870414,180.0,top
RN7,84.000059,-84.321111,270.0,top
RN8,70.183013,-88.870414,180.0,top
RN9,98.108197,-133.143853,90.0,top
SW1,80.694314,-111.896544,0.0,top
SW2,80.694314,-118.451148,180.0,top
U1,146.185671,-79.370877,270.0,top
U10,130.975512,-96.114097,45.0,top
U1001,76.0,-66.5,90.0,top
U1002,67.4,-71.3,90.0,top
U11,131.2785,-91.539066,180.0,top
U1101,67.4,-76.8,90.0,top
U1102,67.4,-82.3,90.0,top
U12,144.121124,-93.075814,180.0,top
U1201,68.1,-126.9,90.0,top
U1202,68.1,-132.8,90.0,top
U13,136.221469,-64.386925,90.0,top
U14,136.245206,-68.679389,90.0,top
U15,132.924,-103.026,45.0,top
U16,141.052,-97.184,0.0,top
U17,136.226,-121.822,0.0,top
U18,141.052,-119.79,0.0,top
U19,138.766,-113.694,0.0,top
U2,136.454142,-79.333011,270.0,top
U20,143.876737,-113.568731,0.0,top
U21,141.814,-106.582,90.0,top
U22,141.106017,-101.519472,0.0,top
U23,128.733,-124.235,135.0,top
U24,121.621,-100.613,270.0,top
U26,108.276,-116.918,45.0,top
U27,88.775201,-91.338417,270.0,top
U3,102.444,-92.866,270.0,top
U4,110.544271,-96.88218,270.0,top
U40,92.905941,-68.572731,90.0,top
U41,114.219755,-63.592088,180.0,top
U42,71.9,-116.7,90.0,top
U43,70.775,-108.0,180.0,top
U44,70.7,-101.0,180.0,top
U45,71.2,-94.0,180.0,top
U5,101.501722,-100.701272,90.0,top
U6,118.7,-91.596,0.0,top
U7,143.366976,-130.20556,180.0,top
U8,136.056015,-95.12034,45.0,top
U9,126.283953,-99.79306,45.0,top
Y1,120.708007,-130.183893,0.0,top
